  Ef=2158.1 Eg=4327.9 Ig=60
  Ef=3941.2 Eg=2544.8 Ig=10

Ei=6525 Eplab=1427
  Ef=146.5 Eg=6378.5 Ig=8
  Ef=665.7 Eg=5859.3 Ig=7
  Ef=1887.2 Eg=4637.8 Ig=4
  Ef=2158.1 Eg=4366.9 Ig=6
  Ef=3383.6 Eg=3141.4 Ig=62
  Ef=3600.3 Eg=2924.7 Ig=13

Ei=6545 Eplab=1448
  Ef=146.5 Eg=6398.5 Ig=78
  Ef=1230.5 Eg=5314.5 Ig=16
  Ef=2579.9 Eg=3965.1 Ig=6

Ei=6574 Eplab=1477
  Ef=146.5 Eg=6427.5 Ig=5
  Ef=2158.1 Eg=4415.9 Ig=95

Ei=6581 Eplab=1485
  Ef=0 Eg=6581 Ig=8
  Ef=461.2 Eg=6119.8 Ig=47
  Ef=665.7 Eg=5915.3 Ig=10
  Ef=2158.1 Eg=4422.9 Ig=10
  Ef=3545.2 Eg=3035.8 Ig=25

Ei=6624 Eplab=1528
  Ef=146.5 Eg=6477.5 Ig=15
  Ef=461.2 Eg=6162.8 Ig=26
  Ef=3545.2 Eg=3078.8 Ig=12
  Ef=3600.3 Eg=3023.7 Ig=35
  Ef=4075.9 Eg=2548.1 Ig=12

Ei=6640 Eplab=1545
  Ef=146.5 Eg=6493.5 Ig=22
  Ef=2181.2 Eg=4458.8 Ig=0.5
  Ef=2375.6 Eg=4264.4 Ig=6
  Ef=2610.6 Eg=4029.4 Ig=6
  Ef=3545.2 Eg=3094.8 Ig=18
  Ef=3600.3 Eg=3039.7 Ig=5
  Ef=3631.1 Eg=3008.9 Ig=0.5
  Ef=3645.6 Eg=2994.4 Ig=0.5
  Ef=3982.2 Eg=2657.8 Ig=3
  Ef=4075.9 Eg=2564.1 Ig=38
  Ef=4325.6 Eg=2314.4 Ig=0.5

Ei=6693 Eplab=1599
  Ef=2375.6 Eg=4317.4 Ig=32
  Ef=2610.6 Eg=4082.4 Ig=23
  Ef=3600.3 Eg=3092.7 Ig=15
  Ef=3645.6 Eg=3047.4 Ig=10
  Ef=4695.0 Eg=1998.0 Ig=4
  Ef=4823.4 Eg=1869.6 Ig=16

Ei=6700 Eplab=1607
  Ef=146.5 Eg=6553.5 Ig=84
  Ef=2375.6 Eg=4324.4 Ig=5
  Ef=3333.9 Eg=3366.1 Ig=2
  Ef=3545.2 Eg=3154.8 Ig=3
  Ef=3600.3 Eg=3099.7 Ig=4
  Ef=4075.9 Eg=2624.1 Ig=2

Ei=6718 Eplab=1625
  Ef=146.5 Eg=6571.5 Ig=48
  Ef=1230.5 Eg=5487.5 Ig=12
  Ef=1887.2 Eg=4830.8 Ig=5.5
  Ef=3383.6 Eg=3334.4 Ig=4.5
  Ef=3982.2 Eg=2735.8 Ig=4
  Ef=4605.8 Eg=2112.2 Ig=11
  Ef=4609.7 Eg=2108.3 Ig=15

Ei=6723 Eplab=1630
  Ef=146.5 Eg=6576.5 Ig=16
  Ef=2158.1 Eg=4564.9 Ig=3
  Ef=2181.2 Eg=4541.8 Ig=2
  Ef=2375.6 Eg=4347.4 Ig=26
  Ef=2610.6 Eg=4112.4 Ig=20
  Ef=3645.6 Eg=3077.4 Ig=7
  Ef=4695.0 Eg=2028.0 Ig=4
  Ef=4823.4 Eg=1899.6 Ig=22

Ei=6736 Eplab=1644
  Ef=146.5 Eg=6589.5 Ig=29
  Ef=461.2 Eg=6274.8 Ig=11
  Ef=665.7 Eg=6070.3 Ig=14
  Ef=1230.5 Eg=5505.5 Ig=5
  Ef=2158.1 Eg=4577.9 Ig=39
  Ef=3128.9 Eg=3607.1 Ig=2

Ei=6788 Eplab=1698
  Ef=0 Eg=6788 Ig=95
  Ef=1887.2 Eg=4900.8 Ig=5

Ei=6796 Eplab=1706
  Ef=146.5 Eg=6649.5 Ig=91
  Ef=1887.2 Eg=4908.8 Ig=4
  Ef=2158.1 Eg=4637.9 Ig=0.5
  Ef=2375.6 Eg=4420.4 Ig=1
  Ef=2610.6 Eg=4185.4 Ig=2
  Ef=3383.6 Eg=3412.4 Ig=0.5
  Ef=3964.2 Eg=2831.8 Ig=1

Ei=6805 Eplab=1716
  Ef=665.7 Eg=6139.3 Ig=71
  Ef=2158.1 Eg=4646.9 Ig=8
  Ef=2579.9 Eg=4225.1 Ig=12
  Ef=3383.6 Eg=3421.4 Ig=9

Ei=6827 Eplab=1738
  Ef=146.5 Eg=6680.5 Ig=19
  Ef=461.2 Eg=6365.8 Ig=11
  Ef=665.7 Eg=6161.3 Ig=3
  Ef=2158.1 Eg=4668.9 Ig=58
  Ef=3383.6 Eg=3443.4 Ig=9

Ei=6840 Eplab=1752
  Ef=146.5 Eg=6693.5 Ig=2.5
  Ef=461.2 Eg=6378.8 Ig=20
  Ef=665.7 Eg=6174.3 Ig=7
  Ef=1230.5 Eg=5609.5 Ig=13
  Ef=1887.2 Eg=4952.8 Ig=7
  Ef=2158.1 Eg=4681.9 Ig=6
  Ef=2579.9 Eg=4260.1 Ig=9
  Ef=2610.6 Eg=4229.4 Ig=2.5
  Ef=3333.9 Eg=3506.1 Ig=2
  Ef=3383.6 Eg=3456.4 Ig=4.5
  Ef=3982.2 Eg=2857.8 Ig=9.5
  Ef=4139.9 Eg=2700.1 Ig=2
  Ef=4352.9 Eg=2487.1 Ig=9
  Ef=4515.3 Eg=2324.7 Ig=5
